geotype,borough,geoid,bct2020,pop_20,pop_20p,hhpop_20,hhpop_20p,gq_20,gq_20p,instgq_20,instgq_20p,avhhsz_20,popu18_20,popu18_20p,hsp_20,hsp_20p,wnh_20,wnh_20p,bnh_20,bnh_20p,anh_20,anh_20p,onh_20,onh_20p,nh2pl_20,nh2pl_20p,hunits_20,hunits_20p,ochu_20,ochu_20p,vachu_20,vachu_20p
CT2020,Staten Island,36085007400,5007400,4962,1.0,"4,951",0.998,11,0.002,0,0.0,2.86,"1,023",0.20600000000000002,985,0.19899999999999998,"2,538",0.511,228,0.046,"1,070",0.21600000000000003,32,0.006,109,0.022000000000000002,1830,1.0,"1,732",0.946,98,0.054000000000000006
CT2020,Staten Island,36085007500,5007500,4200,1.0,"3,640",0.867,560,0.133,540,0.129,2.99,955,0.22699999999999998,"1,534",0.365,"1,346",0.32,850,0.20199999999999999,336,0.08,48,0.011000000000000001,86,0.02,1300,1.0,"1,216",0.935,84,0.065
CT2020,Staten Island,36085007700,5007700,1762,1.0,"1,747",0.991,15,0.009000000000000001,0,0.0,3.23,534,0.303,776,0.44,178,0.10099999999999999,667,0.379,66,0.037000000000000005,21,0.012,54,0.031,599,1.0,541,0.903,58,0.09699999999999999
CT2020,Staten Island,36085008100,5008100,4822,1.0,"4,343",0.9009999999999999,479,0.099,473,0.098,2.48,950,0.19699999999999998,"1,654",0.34299999999999997,"1,186",0.24600000000000002,"1,317",0.273,412,0.085,71,0.015,182,0.038,1850,1.0,"1,751",0.946,99,0.054000000000000006
CT2020,Staten Island,36085009601,5009601,4075,1.0,"3,818",0.937,257,0.063,0,0.0,2.53,588,0.14400000000000002,425,0.10400000000000001,"2,816",0.691,89,0.022000000000000002,666,0.163,9,0.002,70,0.017,1573,1.0,"1,508",0.9590000000000001,65,0.040999999999999995
CT2020,Staten Island,36085009602,5009602,3767,1.0,"3,746",0.9940000000000001,21,0.006,0,0.0,2.66,731,0.19399999999999998,546,0.145,"2,526",0.6709999999999999,86,0.023,518,0.138,22,0.006,69,0.018000000000000002,1496,1.0,"1,408",0.941,88,0.059000000000000004
CT2020,Staten Island,36085009701,5009701,4454,1.0,"4,447",0.998,7,0.002,0,0.0,2.91,"1,138",0.256,"1,218",0.273,"1,433",0.322,"1,318",0.29600000000000004,281,0.063,56,0.013000000000000001,148,0.033,1614,1.0,"1,529",0.9470000000000001,85,0.053
CT2020,Staten Island,36085009702,5009702,8,1.0,7,0.875,1,0.125,0,0.0,2.33,1,0.125,1,0.125,7,0.875,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0
CT2020,Staten Island,36085010500,5010500,5597,1.0,"5,545",0.991,52,0.009000000000000001,0,0.0,3.05,"1,352",0.242,"2,002",0.358,"1,952",0.349,914,0.163,526,0.094,63,0.011000000000000001,140,0.025,1940,1.0,"1,816",0.9359999999999999,124,0.064
CT2020,Staten Island,36085011201,5011201,5768,1.0,"5,763",0.9990000000000001,5,0.001,0,0.0,2.96,"1,106",0.192,663,0.115,"3,755",0.6509999999999999,75,0.013000000000000001,"1,125",0.195,72,0.012,78,0.013999999999999999,2043,1.0,"1,947",0.953,96,0.047
CT2020,Staten Island,36085011203,5011203,6791,1.0,"6,654",0.98,137,0.02,0,0.0,3.02,"1,399",0.20600000000000002,"1,067",0.157,"4,132",0.608,113,0.017,"1,299",0.191,46,0.006999999999999999,134,0.02,2367,1.0,"2,202",0.93,165,0.07
CT2020,Staten Island,36085011204,5011204,46,1.0,46,1.0,0,0.0,0,0.0,2.71,12,0.261,8,0.174,19,0.413,5,0.109,7,0.152,6,0.13,1,0.022000000000000002,23,1.0,17,0.7390000000000001,6,0.261
CT2020,Staten Island,36085011401,5011401,3249,1.0,"3,209",0.988,40,0.012,0,0.0,2.36,655,0.20199999999999999,757,0.233,"1,458",0.449,470,0.145,419,0.129,48,0.015,97,0.03,1391,1.0,"1,362",0.9790000000000001,29,0.021
CT2020,Staten Island,36085011402,5011402,3738,1.0,"3,721",0.995,17,0.005,0,0.0,2.69,682,0.182,526,0.141,"2,450",0.655,73,0.02,603,0.161,27,0.006999999999999999,59,0.016,1458,1.0,"1,385",0.95,73,0.05
CT2020,Staten Island,36085012100,5012100,3212,1.0,"3,209",0.9990000000000001,3,0.001,0,0.0,2.75,639,0.19899999999999998,384,0.12,"2,539",0.79,31,0.01,156,0.049,15,0.005,87,0.027000000000000003,1208,1.0,"1,165",0.9640000000000001,43,0.036000000000000004
CT2020,Staten Island,36085012200,5012200,3938,1.0,"3,917",0.995,21,0.005,0,0.0,2.68,707,0.18,446,0.113,"3,055",0.7759999999999999,30,0.008,313,0.079,32,0.008,62,0.016,1579,1.0,"1,464",0.927,115,0.073
CT2020,Staten Island,36085012500,5012500,3087,1.0,"3,065",0.993,22,0.006999999999999999,0,0.0,3.13,794,0.257,"1,119",0.36200000000000004,"1,120",0.363,410,0.133,329,0.107,27,0.009000000000000001,82,0.027000000000000003,1049,1.0,980,0.934,69,0.066
CT2020,Staten Island,36085012804,5012804,4644,1.0,"4,609",0.992,35,0.008,0,0.0,2.93,979,0.21100000000000002,804,0.17300000000000001,"2,882",0.621,81,0.017,761,0.16399999999999998,32,0.006999999999999999,84,0.018000000000000002,1708,1.0,"1,573",0.9209999999999999,135,0.079
CT2020,Staten Island,36085012805,5012805,2390,1.0,"2,355",0.985,35,0.015,0,0.0,2.94,431,0.18,215,0.09,"1,757",0.735,22,0.009000000000000001,337,0.141,25,0.01,34,0.013999999999999999,843,1.0,802,0.951,41,0.049
CT2020,Staten Island,36085012806,5012806,6659,1.0,"6,647",0.998,12,0.002,0,0.0,2.6,"1,385",0.20800000000000002,"1,015",0.152,"4,130",0.62,475,0.071,835,0.125,50,0.008,154,0.023,2645,1.0,"2,553",0.965,92,0.035
CT2020,Staten Island,36085013201,5013201,1659,1.0,"1,647",0.993,12,0.006999999999999999,0,0.0,2.83,341,0.20600000000000002,122,0.07400000000000001,"1,325",0.799,31,0.019,147,0.08900000000000001,11,0.006999999999999999,23,0.013999999999999999,604,1.0,581,0.9620000000000001,23,0.038
CT2020,Staten Island,36085013203,5013203,5790,1.0,"5,771",0.997,19,0.003,0,0.0,2.75,"1,093",0.18899999999999997,559,0.09699999999999999,"4,536",0.7829999999999999,28,0.005,524,0.091,35,0.006,108,0.019,2211,1.0,"2,098",0.9490000000000001,113,0.051
CT2020,Staten Island,36085013204,5013204,5055,1.0,"5,044",0.998,11,0.002,0,0.0,2.66,937,0.185,583,0.115,"3,803",0.752,27,0.005,508,0.1,18,0.004,116,0.023,2001,1.0,"1,894",0.9470000000000001,107,0.053
CT2020,Staten Island,36085013301,5013301,1631,1.0,"1,631",1.0,0,0.0,0,0.0,2.81,584,0.358,637,0.391,90,0.055,768,0.47100000000000003,41,0.025,24,0.015,71,0.044000000000000004,604,1.0,581,0.9620000000000001,23,0.038
CT2020,Staten Island,36085013302,5013302,3733,1.0,"3,702",0.992,31,0.008,0,0.0,3.51,"1,054",0.282,"1,927",0.516,376,0.10099999999999999,"1,075",0.28800000000000003,213,0.057,59,0.016,83,0.022000000000000002,1143,1.0,"1,054",0.922,89,0.078
CT2020,Staten Island,36085013400,5013400,4204,1.0,"4,188",0.996,16,0.004,0,0.0,2.66,840,0.2,715,0.17,"2,875",0.684,60,0.013999999999999999,406,0.09699999999999999,41,0.01,107,0.025,1667,1.0,"1,577",0.946,90,0.054000000000000006
CT2020,Staten Island,36085013800,5013800,6625,1.0,"6,613",0.998,12,0.002,0,0.0,2.79,"1,259",0.19,588,0.08900000000000001,"5,307",0.8009999999999999,26,0.004,539,0.081,33,0.005,132,0.02,2475,1.0,"2,372",0.958,103,0.042
CT2020,Staten Island,36085014100,5014100,2868,1.0,"2,854",0.995,14,0.005,0,0.0,2.95,684,0.23800000000000002,"1,139",0.397,827,0.28800000000000003,382,0.133,367,0.128,57,0.02,96,0.033,1006,1.0,967,0.961,39,0.039
CT2020,Staten Island,36085014604,5014604,6651,1.0,"6,640",0.998,11,0.002,0,0.0,2.65,"1,239",0.18600000000000003,673,0.10099999999999999,"5,287",0.795,52,0.008,513,0.077,18,0.003,108,0.016,2673,1.0,"2,504",0.937,169,0.063
CT2020,Staten Island,36085014605,5014605,3785,1.0,"3,776",0.998,9,0.002,0,0.0,2.75,678,0.179,309,0.08199999999999999,"3,165",0.836,15,0.004,222,0.059000000000000004,8,0.002,66,0.017,1453,1.0,"1,371",0.9440000000000001,82,0.055999999999999994
CT2020,Staten Island,36085014606,5014606,6288,1.0,"6,279",0.9990000000000001,9,0.001,0,0.0,2.64,"1,112",0.177,740,0.11800000000000001,"5,039",0.8009999999999999,49,0.008,303,0.048,30,0.005,127,0.02,2494,1.0,"2,377",0.953,117,0.047
CT2020,Staten Island,36085014607,5014607,4650,1.0,"4,644",0.9990000000000001,6,0.001,0,0.0,2.81,"1,065",0.22899999999999998,486,0.105,"3,591",0.772,30,0.006,464,0.1,17,0.004,62,0.013000000000000001,1732,1.0,"1,655",0.956,77,0.044000000000000004
CT2020,Staten Island,36085014608,5014608,3640,1.0,"3,640",1.0,0,0.0,0,0.0,2.91,723,0.19899999999999998,359,0.099,"2,856",0.785,6,0.002,344,0.095,18,0.005,57,0.016,1312,1.0,"1,252",0.9540000000000001,60,0.046
CT2020,Staten Island,36085014700,5014700,3451,1.0,"3,442",0.997,9,0.003,0,0.0,2.43,626,0.18100000000000002,441,0.128,"2,631",0.762,79,0.023,179,0.052000000000000005,24,0.006999999999999999,97,0.027999999999999997,1525,1.0,"1,417",0.929,108,0.071
CT2020,Staten Island,36085015100,5015100,5449,1.0,"5,426",0.996,23,0.004,0,0.0,2.67,"1,208",0.222,855,0.157,"3,849",0.706,90,0.017,445,0.08199999999999999,29,0.005,181,0.033,2153,1.0,"2,035",0.945,118,0.055
CT2020,Staten Island,36085015400,5015400,5,1.0,5,1.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,3,0.6,0,0.0,0,0.0,1,0.2,1,0.2,1,1.0,0,0.0,1,1.0
CT2020,Staten Island,36085015601,5015601,6663,1.0,"6,643",0.997,20,0.003,0,0.0,2.68,"1,308",0.196,650,0.098,"5,522",0.8290000000000001,45,0.006999999999999999,334,0.05,30,0.005,82,0.012,2584,1.0,"2,476",0.958,108,0.042
CT2020,Staten Island,36085015602,5015602,3396,1.0,"3,394",0.9990000000000001,2,0.001,0,0.0,2.9,620,0.183,219,0.064,"2,942",0.866,9,0.003,140,0.040999999999999995,17,0.005,69,0.02,1221,1.0,"1,170",0.958,51,0.042
CT2020,Staten Island,36085015603,5015603,4776,1.0,"4,776",1.0,0,0.0,0,0.0,2.8,986,0.20600000000000002,587,0.12300000000000001,"3,647",0.764,26,0.005,415,0.087,19,0.004,82,0.017,1819,1.0,"1,708",0.9390000000000001,111,0.061
CT2020,Staten Island,36085016901,5016901,3213,1.0,"3,189",0.993,24,0.006999999999999999,0,0.0,2.87,671,0.209,479,0.149,"1,993",0.62,90,0.027999999999999997,539,0.168,25,0.008,87,0.027000000000000003,1170,1.0,"1,110",0.9490000000000001,60,0.051
CT2020,Staten Island,36085017005,5017005,4845,1.0,"4,823",0.995,22,0.005,0,0.0,2.74,980,0.20199999999999999,453,0.09300000000000001,"3,843",0.7929999999999999,36,0.006999999999999999,374,0.077,34,0.006999999999999999,105,0.022000000000000002,1899,1.0,"1,759",0.9259999999999999,140,0.07400000000000001
CT2020,Staten Island,36085017007,5017007,5526,1.0,"5,486",0.993,40,0.006999999999999999,0,0.0,3.01,"1,347",0.244,870,0.157,"3,287",0.595,185,0.033,"1,038",0.188,24,0.004,122,0.022000000000000002,1869,1.0,"1,824",0.976,45,0.024
CT2020,Staten Island,36085017009,5017009,4473,1.0,"4,467",0.9990000000000001,6,0.001,0,0.0,2.71,914,0.204,385,0.086,"3,788",0.847,24,0.005,206,0.046,20,0.004,50,0.011000000000000001,1778,1.0,"1,647",0.9259999999999999,131,0.07400000000000001
CT2020,Staten Island,36085017011,5017011,4587,1.0,"4,579",0.998,8,0.002,0,0.0,2.64,837,0.182,477,0.10400000000000001,"3,612",0.787,25,0.005,401,0.087,22,0.005,50,0.011000000000000001,1847,1.0,"1,735",0.9390000000000001,112,0.061
CT2020,Staten Island,36085017012,5017012,4473,1.0,"4,473",1.0,0,0.0,0,0.0,2.71,871,0.195,512,0.114,"3,385",0.757,31,0.006999999999999999,416,0.09300000000000001,23,0.005,106,0.024,1754,1.0,"1,648",0.94,106,0.06
CT2020,Staten Island,36085017013,5017013,4333,1.0,"4,333",1.0,0,0.0,0,0.0,2.95,925,0.213,728,0.168,"2,902",0.67,99,0.023,478,0.11,26,0.006,100,0.023,1514,1.0,"1,468",0.97,46,0.03
